environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-confirmatory,return_auc,fuzzy_reliability_full,original_fuzzy,30,-8.1,0.0,-40.53333333333333,24.25,-0.09010522255671534,-0.08333333333333333,0.6253575724769433,0.773653975114011,1.0,7,8,15,-0.4427110381445209,0.399522638562281,7,6,0.4666666666666667,full_vs_original,1.0,1.0,1.0
FourRooms-9-support-shift-confirmatory,return_auc,fuzzy_reliability_full,original_fuzzy,30,-0.011085555555555564,-0.010966666666666347,-0.055847444444444484,0.032637527777777814,-0.08837554507683146,-0.11827956989247312,0.6319838939855532,0.583757072687149,0.5846647117286922,13,17,0,-0.11720809048289733,0.42566478504665684,0,0,0.43333333333333335,full_vs_original,1.0,1.0,1.0
FrozenLake-4x4-slippery-confirmatory,return_auc,fuzzy_reliability_full,original_fuzzy,30,-0.018888888888888886,-0.04374999999999998,-0.06874999999999995,0.030420138888888837,-0.1333503061742048,-0.15483870967741936,0.471011792607824,0.4589970390898609,0.5846647117286922,13,17,0,0.07111691337033668,-0.6107489463720426,0,0,0.43333333333333335,full_vs_original,1.0,1.0,1.0
CliffWalking-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_support,30,21.079166666666666,0.0,-16.008541666666666,63.475624999999994,0.18660541436245096,0.34285714285714286,0.3151940922179197,0.17808432757661063,0.11531829833984375,14,6,10,1.386584510011084,2.7594831081890643,6,7,0.7,full_vs_no_support,1.0,1.0,1.0
FourRooms-9-support-shift-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_support,30,-0.0068422222222222235,0.02773333333333383,-0.07126202777777783,0.056540027777777654,-0.037273825266333695,0.03655913978494624,0.839656695850957,0.871207794174552,0.36159460805356514,18,12,0,-0.5337702774885954,-0.4189004074177842,0,0,0.6,full_vs_no_support,1.0,1.0,1.0
FrozenLake-4x4-slippery-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_support,30,0.0006944444444444716,0.00833333333333336,-0.04000347222222219,0.04083333333333334,0.005972885328922251,0.0665024630541872,0.97412612020264,0.7293567462727897,0.5715881884098053,16,12,2,-0.014139868406235875,1.6761541941654112,0,0,0.5714285714285714,full_vs_no_support,1.0,1.0,1.0
CliffWalking-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_reliability,30,-1.9791666666666667,0.0,-40.38333333333333,34.42916666666667,-0.01862037646276923,0.023391812865497075,0.9194681344209972,0.9298238799335006,1.0,9,9,12,-0.6035050865768856,-0.07578514112519796,0,0,0.5,full_vs_no_reliability,1.0,1.0,1.0
FourRooms-9-support-shift-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_reliability,30,-0.000335555555555489,0.0,-0.029206083333333258,0.029396361111111206,-0.004017052870295809,0.019943019943019943,0.9825968119814651,0.9291670099771987,0.8450189828872681,14,12,4,-0.05419985230327295,0.7645341717886032,0,0,0.5384615384615384,full_vs_no_reliability,1.0,1.0,1.0
FrozenLake-4x4-slippery-confirmatory,return_auc,fuzzy_reliability_full,fuzzy_no_reliability,30,0.0008333333333333248,-0.008333333333333276,-0.0375,0.039305555555555545,0.007569214247635516,-0.002150537634408602,0.967214664872069,0.9917939134989235,0.8555355519056321,14,16,0,0.1451870160221616,-0.3557385981680947,0,0,0.4666666666666667,full_vs_no_reliability,1.0,1.0,1.0
CliffWalking-confirmatory,return_auc,fuzzy_reliability_full,crisp_relative_gate,30,54.8375,60.875,32.6825,75.02916666666667,0.941327502149361,0.854679802955665,1.6447275168191947e-05,5.688571377960753e-05,3.032386302947998e-06,26,2,2,-0.8038779765251087,2.3872662806274096,7,6,0.9285714285714286,full_vs_crisp,0.0001809200268501114,0.0006257428515756829,3.335624933242798e-05
FourRooms-9-support-shift-confirmatory,return_auc,fuzzy_reliability_full,crisp_relative_gate,30,0.0001688888888890035,0.011283333333333978,-0.05456722222222215,0.05351922222222236,0.0010786985764764767,0.015053763440860216,0.9953263627229916,0.9515264742076397,0.5846647117286922,17,13,0,0.019431145674059132,0.2517630072343917,0,0,0.5666666666666667,full_vs_crisp,1.0,1.0,1.0
FrozenLake-4x4-slippery-confirmatory,return_auc,fuzzy_reliability_full,crisp_relative_gate,30,0.20847222222222225,0.19166666666666665,0.16180555555555556,0.2545833333333334,1.5780906839900337,0.9698924731182795,1.6152304432840161e-09,3.5390257835388184e-08,5.774199962615967e-08,29,1,0,-0.16474792118927747,0.016441106967837182,0,0,0.9666666666666667,full_vs_crisp,1.9382765319408194e-08,4.246830940246582e-07,6.92903995513916e-07
