environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,method
CliffWalking-confirmatory,count_gate_tau_20,return_auc,30,-405.675,160.64092601846193,-439.125,-439.125,-317.375,-465.65930758979766,-345.69069241020236,-466.6591666666667,-354.1,Count gate
CliffWalking-confirmatory,crisp_relative_gate,return_auc,30,-449.42083333333335,57.67089935922882,-439.625,-500.0,-439.125,-470.95550106642816,-427.88616560023854,-467.675,-429.1625,Crisp relative-reliability gate
CliffWalking-confirmatory,fuzzy_reliability_full,return_auc,30,-394.5833333333333,67.51985925398661,-439.125,-439.125,-317.875,-419.7956631318151,-369.3710035348515,-414.85833333333335,-370.3,Fuzzy relative-reliability gate
CliffWalking-confirmatory,original_fuzzy,return_auc,30,-386.48333333333335,69.07307110805809,-439.125,-439.125,-317.875,-412.27564196981086,-360.69102469685583,-410.76666666666665,-362.1333333333333,Original fuzzy gate
FourRooms-9-support-shift-confirmatory,count_gate_tau_20,return_auc,30,-2.2291600000000007,0.10802230342995928,-2.2099666666666673,-2.3150000000000004,-2.158241666666667,-2.269496191007493,-2.1888238089925083,-2.267093777777778,-2.1921208888888892,Count gate
FourRooms-9-support-shift-confirmatory,crisp_relative_gate,return_auc,30,-2.250127777777778,0.1459579047810414,-2.2497500000000006,-2.3546166666666677,-2.1989583333333345,-2.3046293551313735,-2.195626200424183,-2.299160472222223,-2.198332111111112,Crisp relative-reliability gate
FourRooms-9-support-shift-confirmatory,fuzzy_reliability_full,return_auc,30,-2.24995888888889,0.14840310116538838,-2.270583333333334,-2.3701333333333343,-2.1515750000000007,-2.305373517577979,-2.194544260199801,-2.3013388333333333,-2.197162166666667,Fuzzy relative-reliability gate
FourRooms-9-support-shift-confirmatory,original_fuzzy,return_auc,30,-2.2388733333333337,0.10811006113219844,-2.2504000000000004,-2.3284333333333342,-2.1335500000000005,-2.2792422936053898,-2.1985043730612777,-2.2763109722222232,-2.201210750000001,Original fuzzy gate
FrozenLake-4x4-slippery-confirmatory,count_gate_tau_20,return_auc,30,0.47680555555555554,0.10559471319465553,0.4875,0.3833333333333332,0.5531250000000001,0.43737584163945964,0.5162352694716514,0.44055555555555553,0.5136111111111111,Count gate
FrozenLake-4x4-slippery-confirmatory,crisp_relative_gate,return_auc,30,0.29499999999999993,0.12899924262452533,0.3125,0.221875,0.3614583333333332,0.24683089116685508,0.3431691088331448,0.24972222222222218,0.34014236111111107,Crisp relative-reliability gate
FrozenLake-4x4-slippery-confirmatory,fuzzy_reliability_full,return_auc,30,0.5034722222222222,0.08940578726043255,0.5041666666666667,0.43854166666666666,0.5812499999999999,0.4700875525974875,0.5368568918469568,0.47208333333333335,0.5347222222222222,Fuzzy relative-reliability gate
FrozenLake-4x4-slippery-confirmatory,original_fuzzy,return_auc,30,0.522361111111111,0.11836552163263818,0.5416666666666666,0.44270833333333326,0.6104166666666666,0.4781626989529103,0.5665595232693118,0.4798611111111111,0.5636145833333334,Original fuzzy gate
